,Announced Size
1010,7 ktH2/y - 140 kt CO2/y
1011,100 mmscf H2/d
1012,
1013,60MW
1014,100MW
1015,15000 t synfuels/y production
1016,2.5 Mt synfuels/y production
1017,100-200 MW
1018,240MW
1019,24MW
1020,80MW
1021,12MW
1022,5MW
1023,
1024,60MW
1025,7 kt H2/y production
1026,630 kt NH3/y production
1027,460 kt MeOH/y production
1028,600 kt NH3/y
1029,200MW
1030,0.7MW or 12 kg H2/h
1031,100MW
1032,600MW
1033,"1 MW, 400 kg H2/d"
1034,1t H2/d
1035,
1036,
1037,5MW
1038,600MW
1039,350MW
1040,75 MW
1041,300 MW
1042,0.9MW
1043,100MW
1044,500MW - 40 kt H2/y
1045,2GW
1046,350 t H2/y
1047,
1048,110MW
1049,1.5 Mt CO2/y
1050,170t H2/d production
1051,40 MW
1052,300 MW
1053,
1054,10 MW - 1.45 kt H2/y
1055,
1056,120 MW
1057,50MW
1058,250MW
1059,6MW
1060,12MW
1061,35-50MW
1062,35-50MW
1063,100MW
1064,10 kt MeOH/y - 50MW
1065,100 kt MeOH/y production
1066,300-400MW
1067,11x36MW
1068,50 kt H2/y production
1069,300MW
1070,30MW
1071,800 kt NH3/y production
1072,310 kt H2/y production
1073,30MW
1074,
1075,
1076,
1077,4kt NH3/d production
1078,7.5kt H2/y capacity
1079,10.5 kt H2/month production
1080,
1081,400MW
1082,15MW
1083,10MW
1084,2000MW or 110kt H2/y production
1085,2000MW or 180kt H2/y production
1086,170kt H2/y capacity
1087,2MW
1088,85kt H2/y
1089,100MW
1090,20MW
1091,20MW
1092,20kt H3/y production
1093,175MW
1094,1GW
1095,100 kt MeOH/y production
1096,40MW
1097,600MW
1098,2.5MW
1099,25 kt H2/y
1100,1000 kt H2/y production
1101,3.3 GW
1102,7.4 GW
1103,55MW
1104,4MW
1105,
1106,2.5 kt H2/y - 9 kt carbon
1107,20MW
1108,1GW
1109,
1110,
1111,1 BCF H2/d - 7 Mt CO2/y
1112,100MW
1113,200MW
1114,100 million litres of synthetic kerosene per year production
1115,400MW
1116,24MW
1117,280 kt Nh3 production
1118,50 Kt H2/y capacity
1119,320MW
1120,1.2Mt NH3/y production
1121,1GW
1122,22kW
1123,10 t H2/d production
1124,2.5 MW
1125,200 MW
1126,10 MW
1127,150 MW
1128,10 MW
1129,55 MW
1130,15 kt H2/y
1131,46 MW - 29.9 kt NH3/y
1132,92 MW - 75 kt NH3/y
1133,201 MW - 184.4 kt NH3/y
1134,3.5 kt H2/y
1135,
1136,100 MW
1137,400 MW
1138,100 MW
1139,300MW
1140,20 MW
1141,45 MW
1142,5 MW
1143,200 MW
1144,4 MW
1145,100 MW
1146,1.25 MW
1147,
1148,
1149,10 MW
1150,75 MW
1151,2 MW
1152,17.5MW
1153,355 MW
1154,1GW
1155,720MW - 1.6 Mt CO2/y
1156,200k cubic m H2/h
1157,4 MW
1158,100 MW
1159,
1160,
1161,30 MW
1162,24 MW
1163,120 MW
1164,30 MW
1165,54 MW
1166,50kt synthetic kerosene/y production
1167,2 MW
1168,
1169,800 t H2/y
1170,10 kt H2/y
1171,
1172,2 MW
1173,100 MW
1174,100 MW
1175,50 MW
1176,4.5 kt H2/y
1177,225 t H2/y
1178,50 MW
1179,120 MW
1180,270 MW
1181,25 MW
1182,0.7 MW or 100 kg H2/d 
1183,32 MW
1184,4.5 kt H2/y
1185,4.5 kt H2/y
1186,1 MW
1187,1 GW
1188,
1189,2 PJ H2/y - 0.15Mt CO2y
1190,
1191,10MW
1192,1.1Mt CO2/y
1193,140kt NH3/y using 25kt H2/y production
1194,350kt NH3/y production
1195,10MW
1196,600kt CO2/y
1197,10 MW
1198,34 Mw
1199,5 MW
1200,
1201,25 MW
1202,10 kt H2/y
1203,90 kt H2/year
1204,0.640 ktH2/y
1205,30 MW
1206,7.5 MW
1207,300 MW - 24 kt H2/y
1208,220 MW
1209,15 t H2/d capacity
1210,10 MW
1211,800 kt NH3/y production
1212,100 kt MeOH/y production
1213,"4GW electrolysis, 2.3 Mt NH3/y"
1214,10 MW
1215,20 MW
1216,10MW
1217,300 kt NH3/y production
1218,1.5 Mt NH3/y production
1219,1 Mt NH3/y production
1220,"24 kt H2/y, 150 kt NH3/y, 195 kt O2/y production"
1221,"60 kt H2/y, 375 kt NH3/y, 490 kt O2/y production"
1222,0.375 Mt NH3 - 450 kt CO2
1223,30MW
1224,50MW
1225,36 MW
1226,2 MW
1227,155 MW
1228,300 kt H2/y
1229,10 MW
1230,1000 t/y
1231,1.3 MW
1232,50 MW
1233,2.52MW
1234,100 MW
1235,1200 MW
1236,"60,000 bpd low-carbon renewable diesel - 1000 MW equivalnet"
1237,290 MW
1238,20 MW
1239,20 MW
1240,100 MW
1241,300 MW
1242,125 MW
1243,4 MW
1244,1 MW
1245,50 MW
1246,20 MW
1247,12.9 MW
1248,5 MW
1249,50 MW
1250,70 MW
1251,10 MW
1252,100 MW
1253,2100 Nm3/h
1254,50 MW
1255,2 GW
1256,100 MW
1257,1 GW
1258,50 kt DRI/y
1259,2.5MW
1260,4080000 Nm3/y
1261,53000000 Nm3/y
1262,32000 t H2/y production
1263,2000 Nm3/h
1264,2Mt NH3/y - 4 Mt CO2/y
1265,3Mt NH3/y - 6 Mt CO2/y
