Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
1069,DEU,2025,FID/Construction,PEM,Dedicated renewable,Unknown,H2,2.872659176,552,0.4,,552
1070,DEU,2024,Concept,PEM,Grid,N/A,H2,5.303370787,1020,0.8,,1020
1071,DEU,2026,Feasibility study,PEM,Dedicated renewable,Unknown,H2,48.68913858,9363,7.3,,9363
1072,CHL,2025,Feasibility study,PEM,Dedicated renewable,Others/Various,Various,412.6904725,79364,61.9,,79364
1074,AUS,2023,FID/Construction,ALK,Other/Unknown,,H2,0.193820225,42,0,,42
1077,FIN,2024,FID/Construction,ALK,Dedicated renewable,Unknown,H2,20,4348,3.4,,4348
1078,ESP,2024,FID/Construction,ALK,Dedicated renewable,Unknown,H2,0.9,196,0.2,,196
1079,USA,2024,FID/Construction,Biomass,,,H2,,6413,5,,6413
1081,ITA,2016,Operational,NG w CCUS,,,H2,,1500,1.2,,0
1082,FIN,2014,Operational,ALK,Other/unknown,,H2,9,1957,1.5,,1957
1091,DEU,2023,FID/Construction,PEM,Other/Unknown,,H2,1,192,0.1,,192
1095,CAN,2028,Concept,NG w CCUS,,,H2,,384793,300,2000000,250753
1100,USA,2023,FID/Construction,NG w CCUS,,,H2,,449,0.4,,0
1102,ITA,2024,Feasibility study,ALK,Dedicated renewable,Onshore wind,H2,4,870,0.7,,870
1103,ITA,2024,Feasibility study,ALK,Dedicated renewable,Hydropower,H2,2,435,0.3,,435
1108,USA,2024,Feasibility study,ALK,Dedicated renewable,Solar PV,H2,20,4348,3.4,,4348
1110,USA,2024,FID/Construction,PEM,Dedicated renewable,Onshore wind,H2,273.8764045,52669,41.1,,52669
1119,NLD,2025,Feasibility study,Biomass,,,H2,,69263,54,,69263
1120,NLD,2025,Feasibility study,Biomass,,,H2,,16854,13.1,,16854
1122,NLD,2027,Feasibility study,NG w CCUS,,,H2,,257,0.2,,0
1124,CHN,2023,Operational,ALK,Dedicated renewable,Solar PV,H2,260,56522,44.1,,56522
1125,USA,,Concept,NG w CCUS,N/A,N/A,H2,,,,,0
1126,DNK,2024,Feasibility study,ALK,Other/Unknown,,H2,100,21739,16.9,,21739
1137,CAN,2009,Operational,Oil w CCUS,,,H2,,,,438000,26212
1139,KOR,2025,Feasibility study,NG w CCUS,,,H2,,128264,100,,0
1141,USA,2023,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,7.5,1442,1.1,,1442
1142,ARE,,Concept,Biomass,,,H2,,,,,0
1143,PER,1965,Operational,ALK,Dedicated renewable,Hydropower,Ammonia,25,5435,4.2,,5435
1144,MEX,,Concept,NG w CCUS,,,H2,,,,,0
1147,DEU,2025,Feasibility study,PEM,Dedicated renewable,Unknown,H2,54,10385,8.1,,10385
1155,RUS,2022,Operational,PEM,Nuclear,,H2,1,192,0.1,,192
1158,DEU,2021,Operational,SOEC,Dedicated renewable,Onshore wind,MeOH,1,263,0.2,,263
1163,POL,2030,Feasibility study,Biomass,,,H2,,19240,15,,19240
1168,PRT,2024,FID/Construction,PEM,Dedicated renewable,Unknown,H2,2,385,0.3,,385
1169,PRT,2025,FID/Construction,PEM,Dedicated renewable,Unknown,H2,100,19231,15,,19231
1172,COL,2022,Operational,PEM,Dedicated renewable,Solar PV,H2,0.05,10,0,,10
1178,ARE,2025,FID/Construction,NG w CCUS,N/A,N/A,Ammonia,,230968,180.1,,0
1182,USA,2023,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,73.03370787,14045,11,,14045
1184,FRA,2023,Operational,PEM,Dedicated renewable,Offshore wind,H2,1,192,0.1,,192
1187,SWE,2023,Operational,ALK,Grid,,H2,17,3696,2.9,,3696
1199,MEX,2025,Feasibility study,PEM,Dedicated renewable,Solar PV,Ammonia,69,13269,10.3,,13269
1204,NZL,2024,Feasibility study,NG w CCUS,,,Ammonia,,286632,223.5,500000,62688
1205,NZL,2024,Feasibility study,NG w CCUS,,,H2,,280899,219,500000,62688
1215,CHN,,FID/Construction,Biomass,,,H2,,22831,17.8,,22831
1218,FRA,2021,Operational,Biomass,,,H2,,,,,0
1222,USA,1982,Operational,NG w CCUS,,,Ammonia,,,,680000,85256
1223,IRL,2028,Feasibility study,NG w CCUS,,,H2,,,,2500000,313441
1224,GRC,,Concept,NG w CCUS,,,H2,,,,2500000,313441
1228,CHN,2015,Operational,Coal w CCUS,,,MeOH,,,,50000,2992
1236,CAN,2025,Feasibility study,NG w CCUS,,,H2,,,,380000,47643
1237,NOR,2030,Feasibility study,NG w CCUS,,,H2,,327715,255.5,,0
1239,USA,,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,182.5842697,35112,27.4,,35112
